iter	Passed	Remaining
0	140	140253
1	142	70932
2	143	47660
3	144	35996
4	145	29030
5	147	24380
6	148	21067
7	149	18567
8	151	16660
9	152	15121
10	154	13847
11	155	12776
12	156	11868
13	157	11095
14	159	10441
15	160	9859
16	162	9381
17	163	8916
18	165	8549
19	166	8176
20	168	7850
21	169	7542
22	171	7265
23	172	7019
24	174	6819
25	177	6647
26	178	6442
27	179	6246
28	181	6067
29	182	5894
30	183	5728
31	184	5581
32	186	5451
33	187	5319
34	188	5185
35	189	5068
36	190	4948
37	190	4831
38	191	4724
39	192	4618
40	193	4524
41	194	4430
42	195	4349
43	196	4272
44	197	4192
45	198	4117
46	199	4046
47	200	3974
48	201	3904
49	202	3842
50	203	3781
51	204	3724
52	205	3664
53	206	3610
54	207	3566
55	208	3516
56	209	3465
57	210	3422
58	212	3396
59	214	3363
60	216	3334
61	218	3300
62	218	3255
63	219	3212
64	220	3171
65	221	3129
66	221	3089
67	222	3051
68	223	3019
69	225	2990
70	225	2955
71	227	2927
72	228	2898
73	228	2864
74	229	2832
75	230	2801
76	231	2770
77	231	2740
78	232	2712
79	233	2683
80	234	2655
81	234	2628
82	235	2597
83	235	2571
84	236	2545
85	237	2520
86	238	2504
87	240	2488
88	240	2465
89	241	2443
90	242	2420
91	243	2399
92	243	2377
93	244	2358
94	245	2342
95	247	2329
96	248	2317
97	249	2297
98	250	2278
99	251	2259
100	251	2240
101	253	2228
102	254	2213
103	254	2195
104	255	2178
105	256	2161
106	257	2144
107	257	2128
108	258	2113
109	260	2104
110	260	2088
111	261	2073
112	262	2058
113	263	2044
114	263	2029
115	264	2015
116	264	1999
117	266	1988
118	267	1977
119	268	1967
120	269	1957
121	270	1945
122	271	1933
123	272	1921
124	273	1911
125	274	1901
126	274	1889
127	275	1880
128	277	1870
129	278	1864
130	279	1854
131	281	1850
132	282	1841
133	283	1834
134	285	1826
135	285	1816
136	286	1807
137	287	1798
138	289	1790
139	290	1782
140	291	1773
141	291	1763
142	293	1756
143	294	1751
144	296	1746
145	297	1738
146	298	1730
147	299	1722
148	300	1715
149	301	1707
150	302	1700
151	303	1693
152	304	1686
153	305	1679
154	306	1671
155	307	1664
156	308	1656
157	309	1651
158	311	1646
159	312	1641
160	313	1632
161	314	1624
162	315	1619
163	316	1612
164	317	1606
165	318	1601
166	319	1594
167	320	1588
168	322	1584
169	323	1579
170	324	1574
171	326	1569
172	327	1564
173	328	1558
174	329	1554
175	330	1547
176	331	1541
177	332	1535
178	333	1529
179	334	1525
180	336	1520
181	337	1514
182	337	1508
183	339	1503
184	339	1497
185	340	1491
186	342	1487
187	343	1485
188	345	1480
189	346	1476
190	347	1471
191	348	1468
192	349	1462
193	350	1457
194	352	1453
195	353	1449
196	354	1445
197	355	1440
198	356	1435
199	357	1430
200	359	1428
201	360	1423
202	361	1418
203	362	1414
204	363	1409
205	364	1406
206	365	1401
207	367	1398
208	368	1393
209	369	1389
210	370	1385
211	371	1382
212	372	1377
213	374	1373
214	375	1369
215	376	1366
216	377	1362
217	378	1358
218	379	1353
219	380	1349
220	382	1346
221	383	1342
222	384	1338
223	385	1335
224	386	1331
225	387	1327
226	388	1324
227	389	1320
228	390	1316
229	392	1312
230	393	1308
231	394	1305
232	395	1301
233	396	1297
234	397	1294
235	398	1291
236	400	1288
237	401	1285
238	402	1282
239	404	1279
240	405	1276
241	406	1273
242	407	1269
243	408	1266
244	409	1262
245	410	1258
246	411	1254
247	413	1252
248	414	1249
249	415	1246
250	416	1244
251	418	1241
252	419	1238
253	420	1234
254	421	1231
255	422	1227
256	423	1224
257	424	1221
258	425	1217
259	426	1214
260	427	1210
261	428	1207
262	429	1204
263	431	1202
264	432	1198
265	433	1195
266	434	1193
267	435	1190
268	436	1187
269	437	1183
270	439	1180
271	440	1177
272	441	1174
273	442	1171
274	443	1168
275	444	1165
276	445	1162
277	446	1159
278	447	1157
279	448	1154
280	450	1151
281	451	1148
282	452	1145
283	453	1143
284	454	1140
285	455	1137
286	456	1134
287	457	1131
288	458	1128
289	459	1126
290	461	1123
291	462	1121
292	463	1118
293	464	1115
294	465	1113
295	467	1111
296	468	1108
297	469	1105
298	470	1102
299	471	1099
300	472	1097
301	473	1094
302	474	1092
303	475	1089
304	476	1086
